Itemized Comparison,,,,,,
Project: Global 1,,,,,,
Generated: 11/22/2025,,,,,,
,,,,,,
Item Description,Qty,Unit,Global Fire,,Optimal Fire,
,,,Unit Rate,Total,Unit Rate,Total
Single Cable Up to 15mm Smoke Wall,12,EA,$26.31,$315.72,N/A,N/A
Single Cable Up to 15mm Korok Panel 51mm,6,EA,$26.31,$157.86,N/A,N/A
Cable Tray 600mm Concrete Wall,4,EA,$266.47,"$1,065.88",N/A,N/A
Cable Tray 450mm Concrete Wall,4,EA,$266.47,"$1,065.88",N/A,N/A
Cable Tray 300mm Concrete Wall,4,EA,$208.14,$832.56,N/A,N/A
Cable Tray 450mm 13mm GIB Wall,6,EA,$577.60,"$3,465.60",N/A,N/A
Cable Tray 600mm 13mm GIB Wall,6,EA,$678.09,"$4,068.54",N/A,N/A
Stainless Steel Pipe 20mm Concrete Wall,4,EA,$79.32,$317.28,N/A,N/A
Stainless Steel Pipe 80mm 2x 13mm GIB Wall,2,EA,$186.32,$372.64,N/A,N/A
Stainless Steel Pipe 100mm 13mm GIB Wall,2,EA,$221.04,$442.08,N/A,N/A
Stainless Steel Pipe 100mm Concrete Wall,6,EA,$186.32,"$1,117.92",N/A,N/A
Stainless Steel Pipe 100mm Smoke Wall,4,EA,$51.26,$205.04,N/A,N/A
Steel Pipe 100mm Concrete Wall,6,EA,$186.32,"$1,117.92",N/A,N/A
Steel Pipe 25mm Korok Panel 51mm,4,EA,$114.04,$456.16,N/A,N/A
Steel Pipe 32mm Concrete Wall,26,EA,$79.32,"$2,062.32",N/A,N/A
Steel Pipe 50mm Smoke Wall,4,EA,$51.26,$205.04,N/A,N/A
Steel Pipe 100mm 13mm GIB Wall,4,EA,$221.04,$884.16,N/A,N/A
Steel Pipe 100mm Smoke Wall,2,EA,$51.26,$102.52,N/A,N/A
Steel Pipe 150mm 13mm GIB Wall,6,EA,$359.94,"$2,159.61",N/A,N/A
Steel Pipe 150mm Korok Panel 51mm,2,EA,$359.94,$719.87,N/A,N/A
Stainless Steel Pipe 40mm 2x 13mm GIB Wall,24,EA,$79.35,"$1,903.68",N/A,N/A
Up to 100mm x 200mm Insulation,1,ea.,$92.87,$92.87,N/A,N/A
Up to 100mm x 400mm Insulation,1,ea.,$115.81,$115.81,N/A,N/A
